category,present,past,participle
2,broadcast,broadcast,broadcast
2,burst,burst,burst
2,cast,cast,cast
2,cling,clung,clung
2,creep,crept,crept
2,deal,dealt,dealt
2,dig,dug,dug
2,dive,dove/dived,dived
2,flee,fled,fled
2,fling,flung,flung
2,forbid,forbade,forbidden
2,forecast,forecast,forecast
2,foresee,foresaw,foreseen
2,grind,ground,ground
2,kneel,knelt/kneeled,knelt/kneeled
2,knit,knit/knitted,knit/knitted
2,lay,laid,laid
2,lean,leant/leaned,leant/leaned
2,leap,leapt/leaped,leapt/leaped
2,light,lit/lighted,lit/lighted
2,mean,meant,meant
2,mow,mowed,mown/mowed
2,overcome,overcame,overcome
2,overdo,overdid,overdone
2,overhear,overheard,overheard
2,override,overrode,overridden
2,oversee,oversaw,overseen
2,oversleep,overslept,overslept
2,overtake,overtook,overtaken
2,overthrow,overthrew,overthrown
2,plead,pled/pleaded,pled/pleaded
2,prove,proved,proven/proved
2,quit,quit,quit
2,redo,redid,redone
2,remake,remade,remade
2,repay,repaid,repaid
2,rewrite,rewrote,rewritten
2,rid,rid,rid
2,rise,rose,risen
2,saw,sawed,sawn/sawed
2,seek,sought,sought
2,sew,sewed,sewn/sewed
2,shear,sheared,shorn/sheared
2,shed,shed,shed
2,shoot,shot,shot
2,shrink,shrank,shrunk
2,sink,sank,sunk
2,slide,slid,slid
2,slit,slit,slit
2,smell,smelt/smelled,smelt/smelled
2,sow,sowed,sown/sowed
2,speed,sped/speeded,sped/speeded
2,spill,spilt/spilled,spilt/spilled
2,spin,spun,spun
2,spit,spat,spat
2,split,split,split
2,spoil,spoilt/spoiled,spoilt/spoiled
2,spread,spread,spread
2,spring,sprang,sprung
2,stick,stuck,stuck
2,sting,stung,stung
2,stink,stank/stunk,stunk
2,strike,struck,struck/stricken
2,swear,swore,sworn
2,sweep,swept,swept
2,swell,swelled,swollen/swelled
2,swing,swung,swung
2,tear,tore,torn
2,undo,undid,undone
2,upset,upset,upset
2,weave,wove,woven
2,weep,wept,wept
2,wind,wound,wound
2,withdraw,withdrew,withdrawn
2,withhold,withheld,withheld
3,abide,abode/abided,abode/abided
3,alight,alit/alighted,alit/alighted
3,backbite,backbit,backbitten
3,backslide,backslid,backslidden
3,befall,befell,befallen
3,beget,begot,begotten
3,behold,beheld,beheld
3,beseech,besought,besought
3,beset,beset,beset
3,bespeak,bespoke,bespoken
3,bestride,bestrode,bestridden
3,betake,betook,betaken
3,bethink,bethought,bethought
3,bode,boded,boded/boden
3,browbeat,browbeat,browbeaten
3,bust,bust/busted,bust/busted
3,chide,chid/chided,chidden/chided
3,clap,clapt/clapped,clapt/clapped
3,cleave,clove/cleft/cleaved,cloven/cleft/cleaved
3,clothe,clad/clothed,clad/clothed
3,colorbreed,colorbred,colorbred
3,colorcast,colorcast,colorcast
3,countersink,countersank,countersunk
3,crossbreed,crossbred,crossbred
3,crosscut,crosscut,crosscut
3,crosslight,crosslit,crosslit
3,crow,crew/crowed,crowed
3,daydream,daydreamt/daydreamed,daydreamt/daydreamed
3,disprove,disproved,disproven/disproved
3,downdraft,downdraft,downdraft
3,downfall,downfell,downfallen
3,dwell,dwelt/dwelled,dwelt/dwelled
3,enwind,enwound,enwound
3,fit,fit/fitted,fit/fitted
3,flyblow,flyblew,flyblown
3,forbear,forbore,forborne
3,fordo,fordid,fordone
3,forefeel,forefelt,forefelt
3,forego,forewent,foregone
3,foreknow,foreknew,foreknown
3,forerun,foreran,forerun
3,foresay,foresaid,foresaid
3,foreshow,foreshowed,foreshown
3,forespeak,forespoke,forespoken
3,foretell,foretold,foretold
3,forsake,forsook,forsaken
3,forswear,forswore,forsworn
3,fraught,fraught,fraught
3,frostbite,frostbit,frostbitten
3,gainsay,gainsaid,gainsaid
3,gild,gilt/gilded,gilt/gilded
3,gird,girt/girded,girt/girded
3,grave,graved,graven/graved
3,hamstring,hamstrung,hamstrung
3,handwrite,handwrote,handwritten
3,heave,hove/heaved,hove/heaved
3,hew,hewed,hewn/hewed
3,inbreed,inbred,inbred
3,indwell,indwelt,indwelt
3,inlay,inlaid,inlaid
3,input,input,input
3,inset,inset,inset
3,interbreed,interbred,interbred
3,intercut,intercut,intercut
3,interlay,interlaid,interlaid
3,interset,interset,interset
3,interweave,interwove,interwoven
3,interwind,interwound,interwound
3,inweave,inwove,inwoven
3,joyride,joyrode,joyridden
3,lade,laded,laden/laded
3,landslide,landslid,landslid
3,misbecome,misbecame,misbecome
3,miscast,miscast,miscast
3,mischoose,mischose,mischosen
3,miscut,miscut,miscut
3,misdeal,misdealt,misdealt
3,misdo,misdid,misdone
3,misdraw,misdrew,misdrawn
3,miseat,misate,miseaten
3,misfall,misfell,misfallen
3,misfeed,misfed,misfed
3,misgive,misgave,misgiven
3,mishear,misheard,misheard
3,mishit,mishit,mishit
3,misknow,misknew,misknown
3,mislay,mislaid,mislaid
3,mislead,misled,misled
3,misread,misread,misread
3,missay,missaid,missaid
3,missend,missent,missent
3,misset,misset,misset
3,misshape,misshaped,misshapen
3,misspell,misspelt/misspelled,misspelt/misspelled
3,misspend,misspent,misspent
3,misswear,misswore,missworn
3,mistake,mistook,mistaken
3,misteach,mistaught,mistaught
3,mistell,mistold,mistold
3,misthink,misthought,misthought
3,misunderstand,misunderstood,misunderstood
3,miswear,miswore,misworn
3,miswed,miswed,miswed
3,miswrite,miswrote,miswritten
3,moonlight,moonlit,moonlit
3,offset,offset,offset
3,outbid,outbid,outbidden/outbid
3,outbreed,outbred,outbred
3,outcatch,outcaught,outcaught
3,outdo,outdid,outdone
3,outdraw,outdrew,outdrawn
3,outdrink,outdrank,outdrunk
3,outdrive,outdrove,outdriven
3,outfight,outfought,outfought
3,outfly,outflew,outflown
3,outgrow,outgrew,outgrown
3,outlay,outlaid,outlaid
3,outleap,outleapt/outleaped,outleapt/outleaped
3,output,output,output
3,outride,outrode,outridden
3,outrun,outran,outrun
